Rank,Player,Team,Position,MIN,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,Research %ROST,Research +/-,Fantasy TOT,Fantasy AVG,Position List,Projected Fantasy Points,VORP,Adjusted VORP,Tier
249,Alec Burks,Mia,SG,20.2,3.3,8.7,2.4,2.8,1.9,2.7,1.7,0.6,0.2,0.8,10.9,0.4,-0.1,1264.0,18.1,['SG'],18.0,-5.5,-0.5087111618146622,3
250,Isaiah Collier,Utah,PG,17.9,3.1,7.2,1.4,1.9,0.7,2.3,3.4,1.0,0.3,1.9,8.3,0.5,-0.1,1264.0,18.1,['PG'],18.0,-1.1000000000000014,-0.08860944333334536,3
251,Ben Simmons,Bkn,"PG, PF",25.2,3.0,5.3,0.5,1.2,0.0,7.0,5.9,1.1,0.6,2.1,6.6,20.5,5.4,1262.0,28.0,"['PG', 'PF']",28.0,8.899999999999999,0.7169309506061569,4
252,Taurean Prince,Mil,SF,24.5,3.1,6.9,0.8,1.0,1.7,2.7,1.4,0.7,0.4,0.9,8.6,0.5,0.0,1249.0,17.3,['SF'],17.5,-4.700000000000003,-0.4244135951826083,2
253,Isaiah Jackson,Ind,"PF, C",13.5,2.6,4.1,1.3,1.8,0.0,4.1,0.8,0.6,1.1,0.7,6.5,0.5,-0.1,1240.0,18.2,"['PF', 'C']",18.200000000000003,-2.4999999999999964,-0.20097907681493682,3
254,Nicolas Batum,LAC,PF,24.0,1.9,4.3,0.3,0.4,1.3,4.0,1.9,0.8,0.6,0.6,5.4,0.5,-0.1,1239.0,18.2,['PF'],18.3,-2.599999999999998,-0.22854038889655254,3
255,Guerschon Yabusele,Phi,PF,19.6,2.9,6.2,1.4,1.9,0.5,4.9,1.3,0.6,0.7,1.1,7.6,0.9,0.2,1236.0,17.7,['PF'],17.700000000000003,-3.1999999999999957,-0.28128047864191064,2
256,John Konchar,Mem,"SG, SF",20.8,1.7,3.9,0.4,0.5,0.7,4.6,1.8,0.9,0.7,0.7,4.5,0.3,-0.1,1227.0,17.8,"['SG', 'SF']",17.799999999999997,-4.400000000000006,-0.3973233657028676,3
257,Kyle Filipowski,Utah,PF,15.2,2.8,6.3,1.9,2.6,1.2,4.2,1.6,0.7,0.5,1.0,8.8,0.8,-0.1,1226.0,18.9,['PF'],18.8,-2.099999999999998,-0.18459031410875393,3
258,Ja'Kobe Walter,Tor,SG,21.2,3.3,7.7,0.9,1.1,1.4,3.4,1.7,0.7,0.3,0.9,8.9,0.3,-0.1,1224.0,18.0,['SG'],18.0,-5.5,-0.5087111618146622,3
259,Simone Fontecchio,Det,SF,22.3,3.4,7.7,0.8,1.0,1.8,3.2,1.3,0.6,0.3,1.0,9.4,0.7,0.2,1215.0,17.6,['SF'],17.5,-4.700000000000003,-0.4244135951826083,2
260,Jarred Vanderbilt,LAL,PF,21.8,2.5,4.6,1.0,1.5,0.3,5.9,1.6,1.2,0.2,1.1,6.2,9.8,-8.0,1208.0,18.9,['PF'],18.900000000000002,-1.9999999999999964,-0.17580029915119408,3
261,Delon Wright,Mil,"PG, SG",18.0,1.8,4.3,0.8,1.0,0.6,2.3,2.8,1.3,0.3,0.5,5.0,0.3,-0.1,1196.0,18.1,"['PG', 'SG']",18.0,-1.1000000000000014,-0.08860944333334536,3
262,Jonathan Isaac,Orl,PF,15.6,2.5,4.9,1.0,1.4,0.7,4.5,0.5,0.8,1.2,0.5,6.7,2.2,0.0,1193.0,19.6,['PF'],19.599999999999998,-1.3000000000000007,-0.11427019444827642,3
263,Jose Alvarado,NO,PG,18.8,2.7,6.5,0.7,1.0,1.3,2.3,2.4,1.1,0.2,0.9,7.4,0.6,-0.1,1191.0,17.8,['PG'],17.8,-1.3000000000000007,-0.10472025121213535,3
264,Danilo Gallinari,FA,"PF, SF",17.5,2.5,5.8,1.8,2.1,1.0,3.1,1.3,0.3,0.1,0.5,7.9,0.1,0.0,,14.1,"['PF', 'SF']",14.100000000000001,-6.799999999999997,-0.5977210171140607,2
265,Isaiah Joe,OKC,SG,18.1,2.7,6.1,0.7,0.8,1.9,2.2,1.2,0.6,0.2,0.6,8.0,0.4,0.0,1181.0,15.7,['SG'],15.700000000000003,-7.799999999999997,-0.7214449203917026,2
266,Lonnie Walker IV,FA,SG,19.2,3.8,8.9,1.0,1.3,1.8,2.2,1.4,0.6,0.3,0.9,10.4,0.5,-0.1,,17.3,['SG'],17.4,-6.100000000000001,-0.5642069249217165,2
267,Larry Nance Jr.,Atl,"PF, C",17.8,2.1,3.7,0.7,0.9,0.4,4.5,1.6,0.8,0.3,0.7,5.3,0.5,0.0,1167.0,16.7,"['PF', 'C']",16.7,-4.0,-0.32156652290389937,2
