0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
37,"Dejounte Murray
DTD
NO
SG, PG",,,33.6,7.6,16.6,2.1,2.6,2.1,5.2,6.2,1.4,0.3,2.4,19.4,98.8,+0.1,2981,39.2
38,"Bam Adebayo
DTD
Mia
C",,,34.9,7.8,14.7,4.3,5.6,0.2,10.4,3.8,1.2,1.2,2.4,20.0,99.3,0,3054,42.4
39,"Lauri Markkanen
Utah
PF, SF",,,34.1,8.0,16.6,4.7,5.2,3.2,8.3,2.0,0.9,0.5,1.5,23.8,98.4,+0.8,2855,40.8
40,"Jamal Murray
Den
PG",,,32.3,7.9,16.7,2.7,3.2,2.5,4.1,6.5,1.0,0.5,2.2,21.0,98.0,+0.3,2824,40.9
41,"Jaylen Brown
Bos
SF, SG",,,34.0,9.2,18.5,3.2,4.5,2.2,5.8,3.5,1.2,0.5,2.5,23.8,99.7,+0.1,2897,39.1
42,"Jalen Williams
DTD
OKC
PF",,,33.2,7.6,14.2,2.6,3.2,1.5,4.3,4.6,1.3,0.8,1.8,19.3,97.0,+0.7,2850,39.6
43,"Jalen Green
Hou
SG",,,34.0,8.7,19.4,4.2,5.1,3.1,5.0,3.7,0.8,0.5,2.5,24.7,98.4,+0.3,2957,37.4
44,"Julius Randle
DTD
Min
PF",,,35.8,8.1,18.2,4.9,6.4,2.1,9.8,4.8,0.7,0.6,3.2,23.3,92.9,+3.9,2764,40.1
45,"Rudy Gobert
DTD
Min
C",,,33.2,5.3,8.0,3.4,5.2,0.0,12.8,1.3,0.7,2.0,1.6,14.0,94.6,+2.2,2798,37.8
46,"Paul George
O
Phi
SF, PF",,,33.1,7.7,16.6,3.7,4.1,3.1,5.3,3.8,1.5,0.5,2.3,22.2,97.7,-0.3,2690,40.1
47,"Miles Bridges
Cha
SF, PF",,,36.8,7.9,16.8,2.8,3.4,2.2,7.2,3.5,0.9,0.6,2.0,20.8,92.1,+3.9,2778,37.5
48,"Jalen Johnson
DTD
Atl
PF",,,34.9,6.6,12.9,2.0,2.7,1.3,9.0,3.7,1.2,0.9,1.8,16.4,86.5,+7.5,2692,38.5
49,"Evan Mobley
Cle
PF, C",,,32.0,6.4,11.4,2.5,3.6,0.4,9.1,3.0,0.9,1.5,1.8,15.7,93.2,+2,2551,37.5
50,"Coby White
Chi
PG, SG",,,36.7,7.7,17.2,3.0,3.6,2.7,4.5,5.1,0.7,0.2,2.1,21.1,90.9,+3.5,2799,35.4
51,"Jimmy Butler
DTD
Mia
SF, SG, PF",,,33.5,6.7,13.3,6.7,7.8,0.8,5.4,5.0,1.4,0.3,1.7,21.0,95.8,+2.3,2579,39.7
52,"D'Angelo Russell
DTD
LAL
PG, SG",,,33.4,6.5,14.4,2.2,2.7,3.0,3.2,6.5,0.9,0.3,2.2,18.3,91.5,+2,2713,36.2
53,"Anfernee Simons
Por
SG, PG",,,35.2,9.1,20.3,3.9,4.3,3.6,3.6,5.5,0.5,0.1,2.7,25.8,86.4,+4.3,2589,38.6
54,"Cam Thomas
Bkn
SG",,,34.0,9.3,20.6,5.6,6.5,2.6,3.5,3.1,0.7,0.3,2.0,26.9,88.2,+3.4,2578,36.3
55,"Immanuel Quickley
Tor
PG, SG",,,35.1,6.7,15.5,3.6,4.2,3.0,4.6,5.6,0.9,0.2,1.8,20.0,87.3,+3.3,2651,36.8
56,"Kyle Kuzma
Wsh
PF, SF",,,33.4,8.7,18.9,2.7,3.5,2.2,6.9,4.3,0.5,0.7,2.8,22.4,88.9,+3,2631,37.1
57,"Mikal Bridges
NY
SF, SG",,,35.1,6.5,14.0,2.9,3.4,2.1,4.4,3.1,1.1,0.8,1.5,18.1,95.2,+0.3,2784,34.0
58,"Fred VanVleet
Hou
PG",,,32.9,5.4,13.1,2.6,3.0,2.8,3.5,6.9,1.3,0.4,1.7,16.1,87.8,+3.1,2610,36.8
59,"Franz Wagner
Orl
SF, PF",,,33.7,7.5,15.6,3.8,4.5,1.4,5.4,3.8,1.1,0.6,2.0,20.2,92.2,+1.2,2636,36.1
60,"Myles Turner
Ind
C",,,28.1,6.4,12.1,3.3,4.2,1.6,7.2,1.3,0.5,2.0,1.5,17.6,89.2,+3.2,2637,35.6
61,"Michael Porter Jr.
Den
SF",,,32.3,7.1,14.6,1.7,2.1,3.1,6.9,1.5,0.6,0.6,1.2,19.0,85.3,+4.4,2388,33.6
62,"Zach LaVine
Chi
SG, SF",,,35.6,8.5,17.8,4.7,5.5,2.7,4.6,4.4,0.8,0.3,2.5,24.4,89.7,+3,2492,38.3
63,"Jarrett Allen
Cle
C",,,32.5,6.2,9.6,2.6,3.6,0.0,10.1,1.9,0.8,1.2,1.5,15.0,87.7,+2.9,2609,35.7
64,"Kristaps Porzingis
O
Bos
C, PF",,,30.3,7.0,13.9,4.8,5.6,1.9,7.5,2.2,0.8,1.8,1.7,20.8,87.1,+1.1,2374,40.9
65,"Jaren Jackson Jr.
O
Mem
C, PF",,,30.9,7.3,16.2,4.7,5.8,1.7,5.8,1.9,1.1,1.9,2.2,21.0,91.0,+1.7,2495,37.2
66,"Darius Garland
Cle
PG",,,34.1,7.0,15.4,3.0,3.5,2.4,2.7,7.1,1.3,0.1,3.1,19.3,88.1,+2.3,2548,35.9
67,"Brandon Ingram
NO
SF",,,32.8,7.9,16.3,4.1,5.0,1.3,5.1,5.6,0.7,0.6,2.6,21.3,89.7,+1.6,2445,37.6
68,"CJ McCollum
NO
SG, PG",,,31.4,7.1,15.6,1.8,2.3,3.2,4.1,4.6,0.9,0.5,1.8,19.2,86.8,+2.5,2502,35.7
69,"Jonas Valanciunas
Wsh
C",,,27.2,5.8,10.3,2.3,2.9,0.5,10.2,2.4,0.5,0.9,1.6,14.3,83.6,+2.5,2663,32.9
70,"Jrue Holiday
Bos
PG, SG",,,33.1,5.6,11.5,1.3,1.5,2.1,5.3,5.6,1.0,0.7,2.1,14.4,89.9,+1.7,2518,35.0
71,"Devin Vassell
O
SA
SG, SF",,,33.5,7.4,15.7,2.4,3.0,2.5,3.9,4.1,1.1,0.4,1.6,19.6,80.5,+2.2,2480,35.4
72,"Bradley Beal
Phx
SF, SG",,,33.6,7.6,15.0,2.6,3.1,1.8,4.3,5.2,1.0,0.5,2.6,19.5,83.6,+3.7,2371,36.5
73,"Derrick White
Bos
SG, PG",,,31.3,5.0,10.9,2.0,2.2,2.4,4.0,4.9,0.9,0.9,1.5,14.3,90.0,+1.7,2515,33.5
74,"Nic Claxton
DTD
Bkn
C",,,30.9,5.4,8.4,1.7,3.0,0.0,10.1,2.1,0.7,2.1,1.3,12.5,84.8,+1.2,2628,36.5
75,"Daniel Gafford
Dal
C",,,25.4,4.8,6.7,1.8,2.6,0.0,7.6,1.5,0.8,2.0,1.1,11.4,75.6,+8.1,2523,33.2
76,"Brandon Miller
Cha
SF, SG",,,34.0,7.8,17.2,2.4,2.9,3.2,4.5,2.5,0.9,0.6,1.9,21.2,87.2,+2.9,2477,33.9
77,"Austin Reaves
LAL
SG, SF",,,33.9,5.7,11.7,3.1,3.6,1.9,4.4,5.5,0.8,0.3,2.2,16.4,88.3,+0.9,2507,33.0
78,"Jalen Duren
Det
C",,,30.7,5.6,9.0,2.3,3.1,0.0,11.9,2.2,0.6,0.9,2.1,13.6,80.8,+3.5,2388,33.2
79,"Collin Sexton
Utah
SG, PG",,,27.3,6.6,13.6,4.2,4.9,1.6,2.7,5.0,0.8,0.2,2.2,19.1,78.6,+3.4,2371,32.0
80,"Josh Giddey
DTD
Chi
SG, SF",,,28.9,5.9,12.4,1.3,1.7,1.1,7.3,5.6,0.7,0.5,2.5,14.2,85.6,+0.5,2442,32.6
81,"Terry Rozier
DTD
Mia
PG, SG",,,30.8,6.7,15.3,2.5,2.9,2.3,3.7,4.9,1.0,0.3,1.6,18.2,77.1,+2.2,2353,33.6
